galaxy,n_pts,log_M200,log_c,c_nfw,chi2_nfw,chi2_bur,best,V_max
UGC07399,10,11.5,1.0,10.0,3233.0184000000004,3233.0184,Burkert,106.0
UGC07524,31,11.5,1.0,10.0,5298.336215239706,5298.336215239705,Burkert,83.8
UGC07577,9,11.5,1.0,10.0,48.464648,48.46464799999998,Burkert,17.8
UGC07603,12,11.5,1.0,10.0,1422.2152,1422.2151999999996,Burkert,64.0
UGC07608,8,11.5,1.0,10.0,486.9195483967548,486.91954839675475,Burkert,69.3
UGC08286,17,11.5,1.0,10.0,3780.792,3780.791999999999,Burkert,84.3
UGC08490,30,11.5,1.0,10.0,6880.6363999999985,6880.6363999999985,Burkert,80.1
UGC08550,11,11.5,1.0,10.0,1126.2096000000001,1126.2095999999997,Burkert,57.8
UGC08699,41,11.5,1.0,10.0,38709.798500844976,38709.798500844976,Burkert,202.0
UGC08837,8,11.5,1.0,10.0,362.714244,362.71424399999984,Burkert,48.0
UGC09037,22,11.5,1.0,10.0,10956.097294546858,10956.097294546858,Burkert,160.0
UGC09133,68,11.5,1.0,10.0,138896.0658089904,138896.0658089904,Burkert,289.0
UGC11455,36,11.5,1.0,10.0,41843.73779688359,41843.73779688359,Burkert,291.0
UGC11557,12,11.5,1.0,10.0,873.7974243368388,873.7974243368385,Burkert,85.0
UGC11820,10,11.5,1.0,10.0,1252.924271525451,1252.9242715254506,Burkert,84.45
UGC11914,65,11.5,1.0,10.0,110670.7475067252,110670.7475067252,Burkert,305.0
UGC12506,31,11.5,1.0,10.0,9865.35540156263,9865.35540156263,Burkert,255.0
UGC12632,15,11.5,1.0,10.0,2287.8328911281483,2287.832891128148,Burkert,73.2
UGC12732,16,11.5,1.0,10.0,3844.7904000000003,3844.790399999999,Burkert,98.0
UGCA442,8,11.5,1.0,10.0,712.7475999999999,712.7475999999998,Burkert,57.8
UGCA444,36,11.5,1.0,10.0,1023.9638037842501,1023.9638037842498,Burkert,38.3
