galaxy,Ud_best,Ub_best,n_pts,rms_RAR,a0_gal
UGC06973,0.34366491117252684,0.10002073218587133,9,1.0472299469467314,3.502221514622571e-11
UGC06983,0.6713405013550067,0.5472491490514936,17,0.5003528559894439,1.1750092526967082e-10
UGC07089,0.12437322204350462,0.9727824945695459,12,0.08017370943533804,1.219212729099947e-10
UGC07125,0.10000000005205334,0.9792156794053477,13,6.62448244925401,4.109698043357493e-11
UGC07151,0.3993141204118728,0.7836051157116888,11,0.5441523684118734,1.249473908343869e-10
UGC07232,0.3681974604725837,0.8097617776691911,4,1.234146527909272,
UGC07261,0.5540458605275486,0.6861620382557155,7,0.5996066183421804,1.2512092762808527e-10
UGC07323,0.2574580693617458,0.9075137264467774,10,0.10109171260887831,1.2426035200237888e-10
UGC07399,2.157848168376958,0.3463929497981618,10,0.6966027141149868,8.9474223033573e-11
UGC07524,0.3660245232284075,0.8594078337401156,31,0.6975765719143414,1.1206876443592845e-10
UGC07559,0.10000000000020302,0.9792156794416433,7,3.677646474668291,4.8872001348824093e-11
UGC07577,0.12404510667903526,0.9456684253246741,8,25.093022082635997,7.684675595487501e-12
UGC07603,0.6238967997673166,0.6626648259172716,12,1.3232043356165168,1.1124191315627408e-10
UGC07608,0.7719514906406391,0.51619645655155,8,2.5291042926659046,1.556950018930327e-10
UGC07690,0.4155775174498557,0.7897207377851007,7,0.6545457779361413,1.3887668928604954e-10
UGC07866,0.10262397229671447,0.9956632193922992,7,1.2806427728647432,8.438760895597948e-11
UGC08286,1.0319814398884746,0.32761299207806216,17,0.46088199175656813,1.300499226324321e-10
UGC08490,0.9865805149078346,0.35939363956451076,30,0.053096270505225675,1.1613958307411386e-10
UGC08550,0.6670513419434424,0.5349390606395895,11,0.17283969637265703,1.1952435369215526e-10
UGC08699,0.7181602686527186,0.573435856541618,41,0.1767383959608386,1.301647098560295e-10
UGC08837,0.12037959974795907,0.9962848959639341,8,2.3494329587830833,5.181478424866453e-11
UGC09037,0.14169420115649672,0.9508140591904513,22,0.4996076577413337,1.1917422261969829e-10
UGC09133,0.3594602823257444,0.7850186681747435,68,0.5351296954624626,4.2832630085653313e-10
UGC09992,0.10000000041642881,0.998284320266713,5,5.09092876967604,7.617644546971946e-11
UGC10310,0.4507108092308043,0.7520024335384368,7,0.7768661846570781,1.1090289722778947e-10
UGC11455,0.39355265237391,0.7012318933382631,36,1.2082493390505666,1.2400079483119786e-10
UGC11557,0.10000000041642881,0.998284320266713,12,15.947433467341718,7.58448501339515e-11
UGC11820,0.5703443795442577,0.6463839343190187,10,1.4580295934660643,1.2210760901855138e-10
UGC11914,0.6850935393042157,0.8436933708080314,65,0.12204974924805025,9.839802894120184e-11
UGC12506,1.0486614673398404,0.30609322286210555,31,2.470553540119506,2.0620346459423531e-10
UGC12632,0.49284657239913954,0.7050073993206023,15,0.7780420550121633,1.0936490195424415e-10
UGC12732,0.6636838302016254,0.6291713188588606,16,0.37415151365184834,1.1282199286038671e-10
UGCA281,0.23519329186528892,0.9159896956942972,7,0.04829958532223737,1.2202330183347108e-10
UGCA442,0.10000000001301315,0.9792156794326761,8,0.31590912874115606,1.027677001966752e-10
UGCA444,0.5655338762328026,0.6552200366370374,36,2.084845902984657,5.7167611784240806e-11
