galaxy,n_pts,a,e_a,b,e_b,rms,gas_frac,log_SB,D
NGC2366,26,-21.30559834185024,1.834088793036234,-118.20527221568935,20.530014870209712,0.11309533559306421,0.46543417074143334,-0.10513034325474745,3.27
NGC2403,73,-16.266894491707415,0.09202049607820706,-65.08038157919133,0.9655063254007126,0.033877119791230356,0.17754385964912278,1.7195798577137233,3.16
NGC2683,11,-17.60508929808623,0.2331352895502237,-78.39968971552513,2.4511581284110058,0.03808404339489664,0.10925,-0.03621217265444471,9.81
NGC2841,50,-16.80419547083328,0.0432829735109569,-72.10444672121527,0.44070619397298527,0.01806498563680675,0.16173519575054102,1.6585837154070628,14.1
NGC2903,34,-15.091711326605726,0.4278581055280768,-52.673572164856424,4.2566244938268865,0.165083482561444,0.1319402985074627,1.274619619091238,6.6
NGC2915,30,-11.862403499035405,0.7376725202117319,-16.475168303171266,8.312386065540085,0.17595337308718573,0.20100414870906674,-1.0,4.06
NGC2955,24,-17.576463941124516,0.23599659899675546,-77.40994398345202,2.2937890632028948,0.04982255655520814,0.1298031731329459,2.2807604263262666,97.9
NGC2976,27,-25.10468224383417,1.2443648648528902,-154.72108911960075,12.86258569096905,0.09768509094304466,0.20548780487804877,2.3883854257180324,3.58
NGC2998,13,-20.01783015889148,1.155815424538972,-104.47966753703808,11.872631906853394,0.16175153935022835,0.14981308411214955,1.7489628612561614,68.1
NGC3109,25,-21.104517817592182,1.4018944401272027,-120.24999720892203,16.21219037661721,0.10247046958176866,0.29926873857404024,0.2944662261615929,1.33
NGC3198,43,-15.886342709422177,0.40515441129083296,-59.904113002033014,4.289932052515072,0.11933465055636118,0.08815068493150685,1.7609499514108973,13.8
NGC3521,41,-16.86622832478146,0.1288476181339405,-71.07570159244956,1.2265161147109913,0.03226479482750443,0.0549047619047619,2.6341143668076317,7.7
NGC3726,12,-15.728652592955655,0.3650155392194133,-57.69407638615056,3.835290612411592,0.043039996110503145,0.23332765718562876,1.3268476989159903,18.0
NGC3741,21,-13.841588108555316,0.3349842796005796,-35.77212481586652,3.9060449504027734,0.037643754053697874,0.2901498929336188,-1.0,3.21
NGC3769,12,-16.52029108564901,0.2604999633960353,-66.19188129815052,2.8123493799376678,0.0462733809003378,0.2790704307759818,0.3010299956639812,18.0
NGC3877,13,-6.653193097969955,3.2842757290055355,32.90875138332038,33.04622646136198,0.14377248847045246,0.13635802469135802,2.3740147402919116,18.0
NGC3893,10,-16.42526711643875,0.22787845432534057,-66.52919939867797,2.3223189134306916,0.02862049358285868,0.23624787141875542,1.3941013020400446,18.0
NGC3917,17,-17.504892922950148,2.6504472678259576,-77.64279231112246,28.29099495082053,0.12405679876234252,0.15925373134328358,1.5625307688622614,18.0
NGC3949,7,-15.452803764827546,0.4766935953456022,-56.54229011196326,4.702935016300601,0.021531768888821468,0.20662420382165603,2.0362295440862948,18.0
NGC3953,8,-19.061254503414332,0.39483897462264766,-92.87734836681089,3.945761665203567,0.016746263367512993,0.06312640134529147,2.17805561153123,18.0
NGC3972,10,-11.806368030556731,2.7775049754428482,-18.049159558107004,29.189243862246748,0.07059060243867146,0.1660384012539185,1.871280972857973,18.0
NGC3992,9,-17.96651512589422,0.3040403749307307,-83.1457621676879,3.2010235456308145,0.02486927653653486,0.18780082987551866,0.7084209001347128,23.7
NGC4010,12,-11.787354707453563,1.3232526260179753,-16.5695702653751,13.955616992371795,0.05632355134622479,0.21969439799331103,1.655618583541222,18.0
NGC4013,36,-16.35673290690509,0.1602523344922168,-65.10352201847206,1.6942212939052708,0.03719472086886789,0.15836763070077864,-1.0,18.0
NGC4051,7,-17.72856714752727,0.8597829071557096,-78.43972499999047,8.670306900969356,0.04592005735883962,0.1151875,2.2522703459883213,18.0
NGC4068,6,-33.09379718979062,3.851283315538747,-246.69867736907196,42.77594922845519,0.09852771547166077,0.376703216374269,1.1970047280230458,4.37
NGC4085,7,-9.111088113988176,3.02037601015449,8.383759372575867,30.156599043534122,0.11115063142452045,0.14598425196850393,2.249809609401804,18.0
NGC4088,12,-16.481572409802716,0.3695414628194826,-65.1038040282486,3.739267591824405,0.03692046764021596,0.2803717973415527,1.5689640044577606,18.0
NGC4100,24,-17.73022224610405,0.2189903831422475,-80.27773868804543,2.2859240079388328,0.034021992987063446,0.15767624767624766,0.9506082247842308,18.0
NGC4138,7,-17.037163337959957,0.3922633724757259,-72.63998913875344,4.048573532436559,0.04448726442457686,0.12917127071823203,0.43933269383026263,18.0
NGC4157,17,-16.151768960021847,0.21117228462077572,-62.59242211235572,2.1755671651553046,0.035801490069920804,0.2549462365591398,0.6232492903979004,18.0
NGC4183,23,-19.154727693446066,0.4131163571974595,-95.75485429784774,4.521590781903679,0.04380631690216651,0.31669565217391304,0.5831987739686227,18.0
NGC4214,14,-16.478039632326432,0.6540549396090146,-68.98104233830831,7.050858666185592,0.09882777893817467,0.17324374308788953,0.370142847051102,2.87
NGC4217,19,-13.389858678499346,0.6253125344428242,-34.33595104507381,6.162481792670694,0.1178396534228605,0.14689473684210527,0.9068735347220704,18.0
NGC4389,6,-0.25407105083065284,3.505747611864226,100.09543127215765,35.04956247303606,0.0797778740423235,0.18582690111107264,2.3593800878746345,18.0
NGC4559,32,-16.729901397121203,0.1609882289506925,-68.18246408477745,1.7180286770280586,0.027286837427415948,0.3121280991735537,0.5502283530550941,9.0
NGC5005,18,-16.4880318556876,0.12895982058453176,-67.25850580961486,1.2039852938250324,0.022675232230322914,0.2509908242366714,2.7173001132170356,16.9
NGC5033,22,-16.441901127345762,0.13030475683453677,-66.5886215256475,1.3449090085583073,0.04274148510046594,0.2141480996068152,0.7976137301530758,15.7
NGC5055,28,-17.014304382930515,0.041042971181990434,-71.30024018108179,0.41858580986619237,0.014997462444993474,0.20374725817065145,1.2381716036301464,9.9
NGC5371,19,-19.322028772864794,0.2811540635505658,-94.87456949043693,2.851302255710981,0.052463465432332934,0.19225352112676058,1.815245591916563,39.7
NGC5585,24,-14.044109048716479,0.5334616198537036,-39.49371109247596,5.738060706861309,0.07386870971563876,0.15323743226539413,1.4548448600085102,7.06
NGC5907,19,-18.519547976116026,0.30499168805343374,-88.41951076778514,3.2267826926767973,0.04377460809982389,0.23853333333333335,0.6739419986340878,17.3
NGC5985,33,-20.09972269835929,0.41488795975816056,-106.7006691464055,4.26447095683322,0.046758087344153085,0.0829251700680272,1.8504011479971585,39.7
NGC6015,44,-17.448263853052058,0.2116858852664178,-77.67943939162546,2.235722063554807,0.06022098850781822,0.2512319754866619,0.8645110810583918,17.0
NGC6195,23,-17.51136796757215,0.18947463276120194,-76.23834730105838,1.859059598737977,0.03577812542362139,0.1696326530612245,2.1683206655188654,127.8
NGC6503,31,-16.694008964917348,0.13553446388253979,-69.17474981642886,1.475913660583157,0.03733841771870084,0.22139130434782608,-0.37675070960209955,6.26
NGC6674,15,-17.50063808808646,0.214109850590257,-78.52641479769574,2.283020699067271,0.042182867260187294,0.18500000000000003,0.19865708695442263,51.2
NGC6946,58,-16.793241296100085,0.0580832397791036,-69.41742674484493,0.5882814632346413,0.02388940406851169,0.21156250000000001,1.382917135087531,5.52
NGC7331,36,-16.287481958850105,0.048851367708449236,-64.3459262137636,0.489638308247455,0.015191234661881894,0.20299722793681788,1.4078156423841977,14.7
NGC7793,46,-15.471301161132178,1.0393992298015267,-56.24226157475367,10.620967913213452,0.1546830880537077,0.12231893676253845,2.3172482684453195,3.61
NGC7814,18,-16.011396750089784,0.044885702267778896,-63.0819320879509,0.44537433576226054,0.012386639820062903,0.06189211048999734,1.104998949299634,14.4
PGC51017,6,-28.47151212963239,5.969909249506975,-195.51966497171418,67.23168646695729,0.2190423741237926,0.6564188071877411,0.42406452541748785,13.6
UGC00128,22,-18.94035994463859,0.7478840785492983,-94.9028948114889,8.592871894419696,0.0816386686330957,0.2827172093023256,-0.3142582613977364,64.5
UGC00191,9,-20.928349689370748,2.2206162869176516,-115.93354421623108,24.309399993326895,0.0779826922610353,0.11458333333333333,1.6072405038317426,17.1
UGC00731,12,-5.739829349054657,0.9599541502582163,56.25392477570024,11.072099048927734,0.05238526635811264,0.31294731339212656,-0.08354605145007495,12.5
UGC00891,5,-9.829523130687623,3.6131199101079896,10.331951956388473,41.04328227789788,0.07763250133273562,0.3983572895277207,0.10037054511756291,10.2
UGC01230,11,-21.426109590636706,2.4246971656272227,-121.84921378498882,27.18416383811849,0.16272513188346463,0.23611650485436894,0.887054378050957,53.7
UGC01281,23,-22.995843202116138,0.5743831179803246,-140.4442128000712,6.571355845346119,0.04225491346756806,0.2822055137844612,0.7881683711411677,5.27
UGC02023,5,-20.45791633156613,9.838164176664963,-107.26417484131105,108.40783989791275,0.1441268198820318,0.33129251700680273,1.3021143769562011,10.4
UGC02259,8,-23.711180142640245,2.8096662480504286,-148.8916372873909,31.13808343894418,0.0759394701485688,0.24598137759077449,0.7996850909091004,10.5
UGC02455,8,-5.811190169508643,0.9235196342581227,50.49339786755145,9.56401920063151,0.03412106886021324,0.47802533532041724,1.7508553832258904,6.92
UGC02487,17,-17.08074417202918,0.093152076934497,-74.9542978925811,0.9726223964343055,0.017696733196881857,0.09931318681318681,0.7860412102425542,69.1
UGC02885,19,-17.35448136681842,0.1441771405136992,-76.39506369038969,1.4981470519746494,0.034512255381811366,0.21245551601423487,0.9938769149412112,80.6
UGC02916,43,-17.532303360556178,0.3008234329448158,-76.84220898173977,2.936413129148309,0.10365941760709968,0.10572093023255814,1.836134149465375,65.4
UGC02953,115,-16.721683821569947,0.13325755243388088,-70.34218469303919,1.2826146491303265,0.11279735870622268,0.03148387096774193,2.6389582413569266,16.5
UGC03205,48,-17.105452869091753,0.1842705898393582,-74.02830713007015,1.8452588743921985,0.060997860284154645,0.03444108604428933,2.1339219404237717,50.0
UGC03546,30,-16.323746599341035,0.04392640737335323,-65.0348114059294,0.4191541168078844,0.019674933130518376,0.012361973392461197,2.229400240179781,28.7
UGC03580,47,-15.5519045458228,0.2927339692839296,-55.62063052995287,2.9695306401277377,0.12538531768783587,0.1048140043763676,1.9825425823029434,20.7
UGC04278,25,-16.339484048098623,1.789581597500891,-65.36903849702901,20.091670947681063,0.13625706137357965,0.15362962962962962,1.0195316845312554,9.51
UGC04305,22,-30.02675087932707,2.6218049144493767,-211.33597154172892,29.07430041498444,0.14251575693293567,0.4997897553516819,1.011993114659257,3.45
UGC04325,8,-17.523200433719982,6.048099650567065,-80.40884113462711,65.66136921608965,0.10687855339166454,0.24738352851084916,1.3740147402919116,9.6
UGC04483,8,-19.60051519879475,2.9436376467828347,-99.21744095011525,32.98940795013657,0.06946033087015317,0.47136554289332067,0.2855573090077737,3.34
UGC04499,9,-13.76001361536681,2.530887875419353,-35.565792770798936,27.907310427645534,0.07432762601288452,0.3825112107623318,0.7307822756663892,12.5
UGC05005,11,-13.554573917265003,2.1147300039503185,-31.2512974792095,23.983694268509293,0.10420673651962456,0.28179310344827585,0.6304278750250238,53.7
UGC05253,73,-17.16540085543178,0.11742652289520633,-73.9182421951132,1.1145781230567784,0.07034600257524994,0.04016129032258065,2.5194998528595387,22.9
UGC05414,6,-17.28891490811529,4.7814920939939,-74.00650088257605,52.45965548206459,0.05944224559255606,0.373679011471463,1.2049335223541449,9.4
UGC05716,12,-22.18199581781134,0.8147548503407409,-131.76097676201746,9.286802734105104,0.0331237668012507,0.33562957827703405,-0.6989700043360187,21.3
UGC05721,23,-16.205463103405744,0.49631675671596104,-66.09442898097828,5.3613883117255385,0.08735475369178054,0.2473876063183475,0.36921585741014284,6.18
UGC05750,11,-32.5661458935937,3.0029084048406456,-247.83289182743167,34.47044173698466,0.13892849924292902,0.27464285714285713,1.039017321997412,58.7
UGC05764,10,-11.266152930077242,3.564831868446681,-9.654113051664908,40.418336684368235,0.11923159507857546,0.329364645530233,0.2576785748691845,7.47
UGC05829,11,-13.56593936792553,0.7399671464983715,-32.5751322517702,8.453335803107194,0.04750832018073079,0.3599164926931106,0.5587085705331657,8.64
UGC05918,8,-6.356504857206687,4.002252397190852,50.89189794620151,46.35853303603192,0.05870884606561723,0.2687800064013656,0.5611013836490559,7.66
UGC05986,15,-14.941809098548985,1.1991613478608087,-51.45538378758375,12.935915410021044,0.08629727449895751,0.21130434782608695,1.0989896394011773,8.63
UGC05999,5,-9.317349242652556,4.842629321938703,14.743600504918803,54.3634045273218,0.07129694715632959,0.3432017543859649,0.34830486304816066,47.7
UGC06399,9,-18.86309446221191,4.288643296717315,-93.39100600079452,47.4787669389967,0.07332424412474893,0.21419354838709678,1.0692980121155293,18.0
UGC06446,17,-22.69413861725704,1.6106187799203635,-137.27957504315464,17.993633902895017,0.07387559114418944,0.28750000000000003,0.22271647114758328,12.0
UGC06614,13,-16.00980462938884,0.2655449933674458,-60.78629594686008,2.7809672585290426,0.045204386695887874,0.09552941176470588,1.436162647040756,88.7
UGC06628,7,-38.36378221991171,8.844915618133815,-302.6578793571195,97.41601430450895,0.09715211302642185,0.3958937198067633,1.2335037603411345,15.1
UGC06667,9,-11.982444280208748,1.1484105464362986,-17.88824489597009,13.270450350108085,0.06395050123907824,0.2369987063389392,0.6821450763738317,18.0
UGC06786,45,-16.34091211182766,0.14441772783039755,-67.00304927530404,1.4337604857508335,0.06245992205373734,0.05538812785388128,2.152502380461126,29.3
UGC06787,71,-15.851895600326776,0.07356780715003462,-61.78690221142681,0.7101205735226822,0.05185384634861436,0.04274678111587983,1.9778607292646972,21.3
UGC06818,8,-5.112621868691627,1.877297722876117,61.307753014180506,20.77728348052511,0.06948902272755285,0.21645359565627198,0.9339931638312423,18.0
UGC06917,11,-16.07112541398615,1.0047251890651614,-62.7273509305654,10.891791704363834,0.04099640573997537,0.2091,1.2132520521963968,18.0
UGC06923,6,-12.426793940200414,1.3249246551377873,-22.665818998934377,14.089237716954067,0.04409043595509068,0.3124072356215213,1.338854746252323,18.0
UGC06930,10,-18.78443174596196,1.2863330513721811,-91.5677352607924,14.082526162322502,0.06150689671874881,0.30602440794846203,0.9283958522567138,18.0
UGC06973,9,-14.301296946044078,0.09681786040898224,-44.784345627436466,0.9356951063836554,0.010960399588112558,0.16766081871345032,1.387033701282363,18.0
UGC06983,17,-18.036852988172562,0.983780267499794,-84.47330389733155,10.822110511908289,0.07476912842384711,0.27935185185185185,0.5820633629117087,18.0
UGC07089,12,-13.334458707899863,1.6319581211084941,-29.84473522578731,18.02865856330755,0.04736943008343947,0.294224912684215,0.9809119377768436,18.0
UGC07125,13,-18.366463314581704,1.2560993395648758,-84.12318598899769,14.182411455638483,0.06399197656645826,0.4195121951219512,0.22530928172586284,19.8
UGC07151,11,-19.180652250479554,2.1096934471375253,-95.49497012396526,22.754534537680563,0.06463094003969579,0.2876488095238095,1.2610248339923973,6.87
UGC07261,7,-18.9784704244099,2.1058791422492673,-94.34577659576438,23.028716785447166,0.0716938576725487,0.1827586206896552,0.8744818176994664,13.1
UGC07323,10,-16.075040514217,6.21312959391476,-61.086139514066396,67.05337134106557,0.04899611824565431,0.18748535361208898,1.589391023136933,8.0
UGC07399,10,-15.991023527266504,0.7098229114272644,-64.93387197993525,7.770539543092846,0.03965073079755884,0.22156390077123655,0.8159096508867746,8.43
UGC07524,31,-7.057101618329357,1.9465167346638401,39.615453220559544,21.856823804499776,0.05740621149186514,0.28326417704011064,0.8407332346118067,4.74
UGC07559,7,-12.30026152233258,10.418939079525327,-15.864601974545948,117.44268589755922,0.09777190810632051,0.37169811320754714,0.6910814921229684,4.97
UGC07577,9,-15.81008304632431,1.418143128061046,-51.062516299114925,16.48499685289078,0.0888565736433719,0.5258064516129032,0.7895807121644255,2.59
UGC07603,12,-13.308731197897341,1.0357318403699287,-32.65186876662675,11.405238282177017,0.07290470075895097,0.2654390243902439,0.5230958382525678,4.7
UGC07608,8,-26.32841478783899,13.838801869545295,-179.90256080932767,157.66880293784715,0.1409989578255983,0.28157529351111943,0.5152113043278018,8.21
UGC07690,7,-18.824626062299448,0.6144818546976942,-91.4790492867342,6.583104909029936,0.03759380625289684,0.32568027210884354,0.8175653695597808,8.11
UGC07866,7,-15.242708860999842,6.79751704676232,-50.24037749374354,76.69675739518748,0.03723177914010335,0.3403846153846154,0.7656685547590141,4.57
UGC08286,17,-20.87100858864026,1.1678376036870777,-117.18075010829133,12.983767154134185,0.05836751123762956,0.2377049180327869,0.6263403673750424,6.5
UGC08490,30,-17.785505754290707,0.1261788291118396,-82.51638618568049,1.400656503373093,0.023456113321522806,0.28701622971285895,-0.8386319977650252,4.65
UGC08550,11,-17.58832325871471,0.7896922310744879,-79.7124797564427,8.870868049416872,0.04663404021088604,0.2558943089430894,-0.44369749923271273,6.7
UGC08699,41,-16.389045087317925,0.09366694729626318,-66.58560808236366,0.9241158220083342,0.041791374038544174,0.11483516483516483,1.8437309651120921,39.3
UGC08837,8,-29.913195821652494,2.81599721561685,-213.50682649560335,31.706076009503867,0.08600409927960342,0.4397572281703908,1.0094508957986938,7.21
UGC09037,22,-14.576719738886888,0.5150116935287049,-44.64338312490085,5.414277602779626,0.06782290068919246,0.37910641891891894,1.1075491297446862,83.6
UGC09133,68,-17.3273262031295,0.0881717222110351,-75.49604514015587,0.8809147164162133,0.06383901478366372,0.09665880847953218,1.910143961064513,57.1
UGC09992,5,-28.051009897650754,1.592999513087446,-192.77595201048652,17.78777967990314,0.029442334495826998,0.4393939393939394,0.670245853074124,10.7
UGC10310,7,-25.140459425426773,5.840247881751027,-162.4271284771902,64.76008744279235,0.0660893139850797,0.2709537572254335,0.8686444383948257,15.2
UGC11455,36,-15.838411602765781,0.6369030034417954,-60.00619541432443,6.384603237226718,0.10749661054394312,0.08222888054339131,2.4508262439284194,78.6
UGC11557,12,-11.172681862763099,10.488029487201734,-5.105482718524456,110.99755318335768,0.3691780625121913,0.2169987219595575,1.7993405494535817,24.2
UGC11820,10,-21.684030435195314,1.9056031072912607,-125.09033548181013,21.452937384958165,0.08847577598945215,0.18159824428026536,1.2659963704950792,18.1
UGC11914,65,-16.825890535841445,0.1201693534846216,-71.59365324031681,1.106808039388589,0.036114323005461316,0.01606164383561644,2.7675714021135156,16.9
UGC12506,31,-20.905334415997,0.9794977175492818,-115.87658424228407,10.458924427706652,0.13334868559664267,0.24172,1.0425755124401905,100.6
UGC12632,15,-26.10943179574637,6.557053945653603,-175.7771830727841,74.43663061003544,0.07702152492746729,0.24351145038167937,0.6222140229662954,9.77
UGC12732,16,-22.38244080823511,1.898611375169568,-133.83344102470818,21.512965737875124,0.05954180560639972,0.26614021505106167,0.021189299069938092,13.2
UGCA281,7,-16.808415701771228,0.7619345485912786,-69.30638581709412,8.41914820722889,0.026653922526100188,0.30653846153846154,1.3191060593097763,5.68
UGCA442,8,-14.512877001796738,0.955347716476287,-43.75329605463274,10.885566672535772,0.043198663859696916,0.39766203344204587,-0.06550154875643228,4.35
UGCA444,36,-13.339194187772168,0.22607509756300997,-29.537314765168592,2.5874874223561704,0.030807506017520483,0.46898570272457507,-0.1739251972991736,0.98
