galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
NGC5005,18,1.2e-10,0.04895337656754195,1.2e-10,0.0385414372903379,-16.488031815602877,-67.25850543501673,0.02267523223032285,0.0012661548029583181,2.7173001132170356,265.0,16.9
NGC5033,22,1.2e-10,0.05960849680795544,1.2e-10,0.05571699075980594,-16.441901100655315,-66.58862124715252,0.042741485100466055,0.001824255632497664,0.7976137301530758,225.0,15.7
NGC5055,28,1.2e-10,0.1280031798022367,1.2e-10,0.1205003417635029,-17.01430438211249,-71.30024017271747,0.014997462444993373,0.0012914694057268848,1.2381716036301464,206.0,9.9
NGC5371,19,1.2e-10,0.16008185641234787,1.2e-10,0.15876663400061036,-19.322028720244592,-94.87456895624585,0.05246346543233296,0.0009932107865831927,1.815245591916563,242.0,39.7
NGC5585,24,1.2e-10,0.15857267318164162,1.2e-10,0.15607654157558165,-14.04410920449536,-39.49371277406639,0.07386870971563848,0.014065657028662186,1.4548448600085102,92.3,7.06
NGC5907,19,1.2e-10,0.0781341126594446,1.2e-10,0.07980763015680938,-18.519548100478225,-88.41951208432315,0.04377460809982406,0.00267313073966617,0.6739419986340878,235.0,17.3
NGC5985,33,1.2e-10,0.25340308599447264,1.2e-10,0.25928011314040866,-20.099722890210238,-106.7006711187704,0.04675808734415304,0.0011897208709453532,1.8504011479971585,305.0,39.7
NGC6015,44,1.2e-10,0.08203928775323746,1.2e-10,0.08571378827381254,-17.44826380027457,-77.67943882249793,0.06022098850781832,0.004931813753848239,0.8645110810583918,166.0,17.0
NGC6195,23,1.2e-10,0.12075648436887168,1.2e-10,0.111223115369773,-17.51136796669484,-76.23834729244324,0.035778125423621236,0.0007549965958287964,2.1683206655188654,258.0,127.8
NGC6503,31,1.2e-10,0.03821257523245138,1.2e-10,0.03754019615162109,-16.694008972963907,-69.17474990143671,0.03733841771870114,0.006806244617032313,-0.37675070960209955,121.0,6.26
NGC6674,15,1.2e-10,0.08746529295744829,1.2e-10,0.09228043674953758,-17.50063811038967,-78.5264150373297,0.04218286726018716,0.0019120944815042105,0.19865708695442263,291.0,51.2
NGC6946,58,1.2e-10,0.09111753888344737,1.2e-10,0.08458591303230961,-16.793241285261768,-69.41742663587229,0.023889404068511748,0.0018520389192204743,1.382917135087531,181.0,5.52
NGC7331,36,1.2e-10,0.09731424531864602,1.2e-10,0.08694454181194701,-16.28748194877223,-64.3459261126089,0.015191234661881917,0.0009984700176734291,1.4078156423841977,257.0,14.7
NGC7793,46,1.2e-10,0.1652232997987641,1.2e-10,0.1629705435645994,-15.471300991296221,-56.24225985103772,0.1546830880537076,0.005205799072399524,2.3172482684453195,116.0,3.61
NGC7814,18,1.2e-10,0.0814262150017656,1.2e-10,0.08389994772379841,-16.01139673772734,-63.08193196464845,0.0123866398200629,0.00042466062338861817,1.104998949299634,265.0,14.4
PGC51017,6,1.2e-10,0.640449635570698,1.2e-10,0.6398485793184495,-28.47151526772707,-195.5197002295239,0.219042374123791,0.07355223896018186,0.42406452541748785,20.5,13.6
UGC00128,22,1.2e-10,0.09575623810868399,1.2e-10,0.09584172256872188,-18.940359756231636,-94.90289264612748,0.0816386686330958,0.029108399666917414,-0.3142582613977364,134.0,64.5
UGC00191,9,1.2e-10,0.10070990164363083,1.2e-10,0.10136636346281623,-20.928350598510026,-115.93355419975747,0.07798269226103577,0.022815970932284373,1.6072405038317426,83.85,17.1
UGC00731,12,1.2e-10,0.2142341252391451,1.2e-10,0.21424637379140377,-5.739829214381489,56.25392633162454,0.05238526635811235,0.19385202212775007,-0.08354605145007495,74.0,12.5
