galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
UGC00891,5,1.2e-10,0.18244442369406186,1.2e-10,0.18188636651266427,-9.829528664446636,10.331889020891706,0.07763250133273936,0.10006063280282558,0.10037054511756291,63.75,10.2
UGC01230,11,1.2e-10,0.1963910777975191,1.2e-10,0.1963964716117269,-21.42611034072801,-121.84922219664087,0.1627251318834654,0.026704325885556483,0.887054378050957,113.0,53.7
UGC01281,23,1.2e-10,0.13009734890464159,1.2e-10,0.12990688572832645,-22.995842904679815,-140.44420939674725,0.04225491346756856,0.06558387095507906,0.7881683711411677,56.9,5.27
UGC02023,5,1.2e-10,0.3473219024723634,1.2e-10,0.3461938648745306,-20.457907308552564,-107.26407564227156,0.14412681988204776,0.02241603267604081,1.3021143769562011,58.8,10.4
UGC02259,8,1.2e-10,0.20083287671919312,1.2e-10,0.20187554316716527,-23.711179370958764,-148.89162873472185,0.07593947014856854,0.026232114777731214,0.7996850909091004,90.0,10.5
UGC02455,8,1.2e-10,0.7000313680239153,1.2e-10,0.6950444601179115,-5.811188305250742,50.49341723785342,0.034121068860219775,0.00707669562812127,1.7508553832258904,61.0,6.92
UGC02487,17,1.2e-10,0.1604755930155151,1.2e-10,0.16627245534298624,-17.080744207587422,-74.95429825896917,0.017696733196881944,0.0008659827682137505,0.7860412102425542,383.0,69.1
UGC02885,19,1.2e-10,0.04802373253726085,1.2e-10,0.05409164838785428,-17.354481359675724,-76.3950636194075,0.03451225538181137,0.0017217348624023274,0.9938769149412112,305.0,80.6
UGC02916,43,1.2e-10,0.13020376718010881,1.2e-10,0.12477483285230817,-17.532303328164232,-76.84220864277091,0.10365941760709979,0.000835352566119548,1.836134149465375,218.0,65.4
UGC02953,115,1.2e-10,0.1301892409337566,1.2e-10,0.1355311988021736,-16.721683810118634,-70.34218460056232,0.11279735870622273,0.0003358496164582743,2.6389582413569266,319.0,16.5
UGC03205,48,1.2e-10,0.08804135650759343,1.2e-10,0.09558974497143517,-17.105452847270776,-74.02830691129735,0.06099786028415455,0.0009324270338871106,2.1339219404237717,237.0,50.0
UGC03546,30,1.2e-10,0.1124597076826667,1.2e-10,0.10093188266825863,-16.32374660502451,-65.03481146035752,0.019674933130518282,0.0002802757279726312,2.229400240179781,262.0,28.7
