galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
NGC4010,12,124.33333333333333,129.0,12673373903.362621,2768806193.6954813,9904567709.66714,0.2184742764482657,1.6118773419451386e-11,4.6070113177900244e-11,18.0
NGC4013,36,174.0,198.0,48372711132.052155,4944085320.6463,43428625811.40585,0.10220815011069968,7.013422497556291e-12,3.020246404660535e-11,18.0
NGC4051,7,156.0,161.0,44808058054.0138,4263403707.6552105,40544654346.35859,0.09514814729341534,4.2041849854217824e-11,6.223367614184067e-11,18.0
NGC4068,6,36.1,41.9,352046157.9272766,213612962.49034676,138433195.43692985,0.6067754403230088,9.041091670131122e-12,2.441846863581291e-11,4.37
NGC4085,7,133.0,136.0,14854870769.707148,900709826.0124135,13954160943.694735,0.0606339725182389,5.387888564000222e-11,9.667906168621748e-11,18.0
NGC4088,12,170.0,182.0,70603847294.1745,12592178967.485123,58011668326.689384,0.1783497564236007,2.1335013336283206e-11,4.567836169115308e-11,18.0
NGC4100,24,158.33333333333334,195.0,37327073553.641945,5639645720.203157,31687427833.43879,0.15108727214038203,1.0046447818450242e-11,3.5997164310246144e-11,18.0
NGC4138,7,147.33333333333334,195.0,26709978881.371063,2360738686.3207836,24349240195.050278,0.0883841464946753,1.078736145725588e-11,3.9244889260166866e-11,18.0
NGC4157,17,185.0,201.0,67710478412.575806,12725900177.10265,54984578235.47316,0.18794580211885017,1.0767432882673468e-11,3.745858336595705e-11,18.0
NGC4183,23,111.66666666666667,115.0,12181225852.670437,6105549290.573232,6075676562.097205,0.5012261790741478,3.843781373622227e-12,1.9686589009607468e-11,18.0
NGC4214,14,80.53333333333333,80.6,851525431.7659487,253571277.78756678,597954153.9783819,0.29778473822172785,3.745535686275503e-12,3.7394522178771016e-11,2.87
NGC4217,19,177.33333333333334,191.0,61744898133.40715,4338128559.647046,57406769573.7601,0.0702588989664216,3.0793683235973695e-11,6.141154605292233e-11,18.0
NGC4389,6,96.46666666666665,110.0,12757562334.28417,597420611.714037,12160141722.570133,0.04682874330220221,6.284598539808055e-11,7.370891824304255e-11,18.0
NGC4559,32,120.0,124.0,23389111530.179253,13088999209.939285,10300112320.239967,0.5596193422332606,7.415662731690662e-12,2.1884760178434126e-11,9.0
NGC5005,18,264.3333333333333,265.0,108235339345.3407,7159314303.195212,101076025042.1455,0.06614581103083506,1.147031521986324e-10,1.9841505853463196e-10,16.9
NGC5033,22,194.0,225.0,81269779936.44263,19021711495.617523,62248068440.825096,0.2340563923083529,5.698850246871965e-12,2.7920357181140794e-11,15.7
NGC5055,28,175.0,206.0,97929122365.49065,22107069546.652557,75822052818.83809,0.2257456108321348,4.581616978967019e-12,1.756265212265672e-11,9.9
NGC5371,19,209.66666666666666,242.0,200303395132.87134,18023487568.733807,182279907564.13754,0.0899809389490274,1.3061280777788103e-11,3.1797112318426566e-11,39.7
NGC5585,24,89.96666666666665,92.3,4237241961.307787,2687545273.791885,1549696687.515902,0.6342675963122006,4.91807629685228e-12,2.363256074820298e-11,7.06
NGC5907,19,215.33333333333334,235.0,139082955709.71933,45450051316.41774,93632904393.30159,0.3267837607023304,7.655140331516884e-12,2.948810849656164e-11,17.3
NGC5985,33,288.3333333333333,305.0,156620143851.47968,18262457281.704277,138357686569.7754,0.11660350215884278,1.8114288956908252e-11,7.58152031468485e-11,39.7
NGC6015,44,153.66666666666666,166.0,26534530085.659973,9945621801.80794,16588908283.852034,0.37481808683632356,4.329989826155683e-12,2.5615607497403598e-11,17.0
NGC6195,23,248.33333333333334,258.0,255947364615.1137,36785358104.91958,219162006510.19412,0.14372235541567832,2.6888428803776565e-11,5.383408581345073e-11,127.8
NGC6503,31,116.0,121.0,10042258093.662056,3540771122.6317067,6501486971.03035,0.35258714619836196,2.535296518807761e-12,1.8237870092582188e-11,6.26
NGC6674,15,243.33333333333334,291.0,148080260033.0266,33735405129.227142,114344854903.79948,0.2278183812055913,3.937614350934695e-12,2.6210691811303053e-11,51.2
NGC6946,58,155.33333333333334,181.0,42167166148.01283,5433262742.2370615,36733903405.77577,0.1288505545562518,1.4126910250764598e-11,3.767537413254183e-11,5.52
NGC7331,36,238.66666666666666,257.0,154998443933.34525,19421326059.537422,135577117873.80783,0.12530013570903506,1.6391094197934242e-11,5.055614661985828e-11,14.7
NGC7793,46,95.43333333333334,116.0,5850661407.228837,1754568534.9605849,4096092872.2682524,0.299892339145231,1.3170085856143634e-11,3.3950272476730894e-11,3.61
NGC7814,18,214.0,265.0,51268984936.12154,2326849435.1856728,48942135500.93587,0.04538512783283705,1.8740593399468305e-11,7.599265236210688e-11,14.4
PGC51017,6,18.433333333333334,20.5,258836564.30694547,170136113.3990269,88700450.90791857,0.6573109709386664,2.7387064349356683e-12,2.989798047350924e-12,13.6
