galaxy,n_pts,V_flat,e_Vflat,V_max,M_b,M_gas,M_star,f_gas,SB,D
NGC2683,11,155.33333333333334,2.1256807188565547,212.0,116894353929.79202,3343123683.847285,113551230245.94473,0.028599530870885348,0.92,9.81
NGC2841,50,290.0,1.699673171197595,323.0,481959364426.57074,33660907283.167614,448298457143.40314,0.06984179532068423,45.56,14.1
NGC2903,34,179.66666666666666,1.186342028003479,216.0,127835880274.46373,3936237377.5546737,123899642896.90906,0.030791334710595877,18.82,6.6
NGC2915,30,85.96666666666665,0.2880329199292387,86.5,1522867530.3115802,548041954.2240797,974825576.0875006,0.35987500115124904,0.015,4.06
NGC2955,24,243.0,6.683312551921141,276.0,400257399899.70984,17459165478.71768,382798234420.9922,0.043619844337899366,190.88,97.9
NGC2976,27,85.96666666666668,1.163646885474315,88.7,966093064.5084573,151490347.24117765,814602717.2672796,0.15680719881604271,244.56,3.58
NGC2998,13,209.66666666666666,2.7216552697590863,214.0,145815202497.5545,16729832827.424938,129085369670.12958,0.11473311795253666,56.1,68.1
NGC3109,25,66.60000000000001,0.2867441755680867,67.3,453996337.39428765,331414920.2778113,122581417.11647634,0.7299947003536802,1.97,1.33
NGC3198,43,149.66666666666666,0.2721655269759087,157.0,63112686818.22735,8043464456.700396,55069222361.526955,0.12744607878708455,57.67,13.8
NGC3521,41,206.0,0.0,220.0,133025612618.16338,1365567369.3014936,131660045248.86188,0.010265446949838278,430.64,7.7
NGC3726,12,168.0,0.47140452079103173,169.0,92893639038.6697,9631098125.199121,83262540913.47057,0.10367876880342577,21.225,18.0
NGC3741,21,50.63333333333333,0.3953432638812709,51.6,247322943.62484872,192069207.3327674,55253736.292081326,0.7765927597243351,0.0,3.21
NGC3769,12,117.33333333333333,1.9051586888313607,126.0,46353722434.056816,8767642524.209024,37586079909.84779,0.18914646038798597,2.0,18.0
NGC3877,13,170.0,0.47140452079103173,171.0,38446198490.72524,1210485751.2193725,37235712739.50587,0.03148518705981789,236.6,18.0
NGC3893,10,174.0,2.943920288775949,194.0,71205418183.55002,6722759382.998345,64482658800.551674,0.09441359315759833,24.779999999999998,18.0
NGC3917,17,137.33333333333334,0.2721655269759087,138.0,16451861263.247005,1739286366.384563,14712574896.862442,0.10571973216611544,36.52,18.0
NGC3949,7,165.0,1.885618083164127,169.0,27388627639.72611,1680195510.6866446,25708432129.039463,0.0613464658685413,108.7,18.0
NGC3953,8,220.66666666666666,2.325383281828483,224.0,98472897769.19711,1801735084.0925152,96671162685.1046,0.018296761087659475,150.68,18.0
NGC3972,10,132.66666666666666,1.0886621079036347,134.0,8564129807.183584,859194213.1320093,7704935594.051575,0.1003247536499643,74.35,18.0
NGC3992,9,240.66666666666666,1.6555182695279267,272.0,242008154181.06265,17347293732.029705,224660860449.03296,0.07168061667480437,5.11,23.7
NGC4010,12,124.33333333333333,1.186342028003479,129.0,11268882100.52762,1588043741.4263365,9680838359.101284,0.14092291739852197,45.25,18.0
NGC4013,36,174.0,1.885618083164127,198.0,103736871665.93207,5615159932.441606,98121711733.49046,0.05412887281317222,0.0,18.0
NGC4051,7,156.0,2.0548046676563256,161.0,42764037157.16711,1616282525.8528607,41147754631.31425,0.03779536810130138,178.76,18.0
NGC4068,6,36.1,2.710883414846328,41.9,192505148.4285542,83413928.13021573,109091220.29833847,0.4333075183242371,15.74,4.37
NGC4085,7,133.0,1.414213562373095,136.0,14303117475.270985,499809935.22431904,13803307540.046665,0.034944125718638114,177.75,18.0
NGC4088,12,170.0,2.160246899469287,182.0,111833685704.36938,9344169995.743404,102489515708.62598,0.08355416292408151,37.065,18.0
NGC4100,24,158.33333333333334,0.2721655269759087,195.0,65970053681.54222,4488399897.526145,61481653784.016075,0.06803692959222125,8.924999999999999,18.0
NGC4138,7,147.33333333333334,1.186342028003479,195.0,60314489783.20547,1796036910.0220172,58518452873.18345,0.029777867913294072,2.75,18.0
NGC4157,17,185.0,0.47140452079103173,201.0,134173090167.11563,12351414218.25982,121821675948.8558,0.09205582283955638,4.2,18.0
NGC4183,23,111.66666666666667,0.7200822998230956,115.0,14931615946.51189,5009180325.736705,9922435620.775187,0.3354747633263952,3.83,18.0
NGC4214,14,80.53333333333333,0.05443310539517864,80.6,1497906207.8332875,257959488.9905471,1239946718.8427403,0.17221337867588116,2.3449999999999998,2.87
NGC4217,19,177.33333333333334,0.2721655269759087,191.0,116805378897.2961,2640017432.166986,114165361465.1291,0.022601848109137884,8.07,18.0
NGC4389,6,96.46666666666665,6.2503925802630524,110.0,10806242112.611765,291535295.8567619,10514706816.755003,0.026978416069034436,228.76,18.0
NGC4559,32,120.0,0.47140452079103173,124.0,26735907549.955963,6409593693.294208,20326313856.661755,0.23973727771604167,3.55,9.0
NGC5005,18,264.3333333333333,0.2721655269759087,265.0,144431671548.68823,10877059375.895756,133554612172.79248,0.07530937819430467,521.5550000000001,16.9
NGC5033,22,194.0,0.9428090415820635,225.0,228220028375.76337,17317281368.599564,210902747007.16382,0.07587976170122426,6.275,15.7
NGC5055,28,175.0,1.699673171197595,206.0,299668462007.1123,14039779245.53783,285628682761.57446,0.046851040484882964,17.305,9.9
NGC5371,19,209.66666666666666,1.4401645996461911,242.0,346444965062.327,15844860157.474892,330600104904.8521,0.0457355763696099,65.35,39.7
NGC5585,24,89.96666666666665,0.38393672318157895,92.3,3627832549.622298,953950185.1368395,2673882364.4854584,0.26295320197073524,28.5,7.06
NGC5907,19,215.33333333333334,0.7200822998230956,235.0,219898984727.9651,28781214968.72469,191117769759.2404,0.13088380105224065,4.72,17.3
NGC5985,33,288.3333333333333,1.6555182695279267,305.0,181778348668.16235,5703792866.967423,176074555801.19492,0.03137773507547776,70.86,39.7
NGC6015,44,153.66666666666666,1.784708711578779,166.0,46777448323.21709,7619587714.445327,39157860608.77176,0.16289019575835845,7.32,17.0
NGC6195,23,248.33333333333334,2.7621784210346787,258.0,410916625054.9912,17439553933.27063,393477071121.7206,0.04244061415362975,147.34,127.8
NGC6503,31,116.0,0.8164965809277261,121.0,21118869145.504826,3058347426.2075987,18060521719.297226,0.1448158708279402,0.42,6.26
NGC6674,15,243.33333333333334,1.0886621079036347,291.0,312816503898.1436,25369402108.523514,287447101789.6201,0.0810999477085904,1.58,51.2
NGC6946,58,155.33333333333334,0.7200822998230956,181.0,78871160744.42792,4830061880.635796,74041098863.79211,0.061239898526243376,24.15,5.52
NGC7331,36,238.66666666666666,0.9813067629253164,257.0,355088820173.6122,16588974772.120678,338499845401.4915,0.04671781771110083,25.575,14.7
NGC7793,46,95.43333333333334,2.434170327891043,116.0,5546282626.2979555,662490084.1846701,4883792542.113285,0.11944758837990742,207.61,3.61
NGC7814,18,214.0,0.0,265.0,131467571404.94704,993443995.0016545,130474127409.94539,0.007556570676594029,12.735,14.4
PGC51017,6,18.433333333333334,0.15153535218873196,20.5,238214627.06172585,117163571.29552726,121051055.7661986,0.49184037412265197,2.655,13.6
UGC00128,22,128.66666666666666,1.6555182695279267,134.0,26863283960.18257,14147838667.390593,12715445292.791979,0.5266608017233064,0.485,64.5
UGC00191,9,80.5,1.709288350942186,83.85,2119934112.5829215,775908326.9224982,1344025785.6604233,0.3660058689169041,40.48,17.1
UGC00731,12,73.9,0.04714045207910384,74.0,1757039826.1467688,1531911884.8782384,225127941.2685303,0.8718708944906266,0.825,12.5
UGC00891,5,59.35,2.2861904265976336,63.75,936050282.5958035,645758717.2546184,290291565.34118515,0.6898760988179349,1.26,10.2
UGC01230,11,103.66666666666667,0.5443310539518174,113.0,15530167005.303759,7482168496.074506,8047998509.229253,0.4817828741647946,7.71,53.7
UGC01281,25,56.333333333333336,0.2841491522787639,56.9,315196018.04350734,153059321.88808584,162136696.1554215,0.48560042997420944,7.06,5.27
