m_bar,vmax,r_vmax,g_bar,g_obs
4676380277.531739,107.717,4.1189843519338645,3.8429314874596604e-11,9.129030464733085e-11
9535134337.171537,144.179,1.989666371420136,3.358144674640897e-10,3.3858682720585643e-10
7107794508.414526,88.8308,9.738559196929435,1.0449091983230103e-11,2.6259033524601214e-11
7509388839.681133,135.86,3.1892530262769414,1.0293421244125619e-10,1.8756013804071394e-10
2082654266.3123708,83.5324,6.039710658399764,7.960090748836124e-12,3.744036593793099e-11
3653336285.798642,102.281,3.132713315618542,5.1901684105190516e-11,1.0822200540866113e-10
2411056982.580455,84.1707,7.101860053144376,6.664941783780471e-12,3.2329282592450716e-11
562961322.7044582,76.1292,23.318275760259816,1.4435066745071465e-13,8.054756160450793e-12
3356214939.474461,96.0814,7.877620312961322,7.540372180305034e-12,3.797780845845159e-11
1575907883.0823739,82.0681,6.245349867139061,5.633137968503149e-12,3.494928414647932e-11
4022733982.8757014,94.2826,8.337023914968999,8.06923429226026e-12,3.4554001918909717e-11
3450295246.5308533,101.84,6.763950398582817,1.051449786768328e-11,4.969156406878091e-11
2278727487.4520226,88.1654,5.270298198996162,1.1438132400968248e-11,4.779775239678047e-11
2477310304.1039267,81.664,9.622674933569531,3.730112109132152e-12,2.246010494722126e-11
4769678181.28137,105.253,8.186300560968409,9.923087287864243e-12,4.385585479434187e-11
2422173014.46708,74.6664,15.808089754945378,1.3513862037872971e-12,1.1429239449118104e-11
3482831414.2308826,97.3815,7.860348390906407,7.859265635618111e-12,3.9098259402056516e-11
1616120460.584588,81.6893,11.114703277236492,1.8239422697535384e-12,1.9457129775532955e-11
3856480661.352229,97.0708,9.226896958960733,6.315575369266131e-12,3.3095416158228824e-11
2225730735.1638618,88.0876,5.115589016829052,1.1858081646161826e-11,4.915641570346977e-11
1836064363.743726,69.6991,16.540891644523178,9.356279215933103e-13,9.517912836430968e-12
649512843.2240921,67.7157,6.512547977561264,2.135103720642564e-12,2.281781781689116e-11
3696575140.242102,95.3345,8.296870386772955,7.486934488900413e-12,3.550031283966299e-11
1332757602.5981696,76.2488,7.922350162385592,2.9605759464931956e-12,2.3782543064133822e-11
5011898435.193386,110.671,4.18054325361677,3.998249806960217e-11,9.4946999902537e-11
1565279007.9716563,93.384,7.796575140242101,3.5901874884443267e-12,3.624827764849315e-11
3864422793.0321817,85.8509,3.23708296427517,5.1417396236717615e-11,7.378739427877816e-11
1992781222.3206377,91.9392,9.189400649542367,3.2901701237200345e-12,2.980990236599725e-11
4953749630.941836,96.3081,3.940803070563921,4.44731296921707e-11,7.62758747026857e-11
1188765869.5010333,76.6636,14.146589902568646,8.281822258768068e-13,1.3463964377979394e-11
5490064954.236788,100.517,4.289932093297904,4.159199509189787e-11,7.63264245041705e-11
1722468260.9979334,91.5753,5.089016829052258,9.272920998457459e-12,5.340342517638653e-11
633348095.6598759,73.7876,21.62754650132861,1.887822099952694e-13,8.158415404205658e-12
1744493652.1995869,77.4513,4.928845586064364,1.0011797898570963e-11,3.944196199843696e-11
606392087.3929732,73.781,15.278122232063772,3.6219851962413994e-13,1.1546899705473002e-11
899468556.2444642,74.7692,11.522733982875701,9.445131745725253e-13,1.5723029582265444e-11
2601638618.2462354,98.3909,9.353557720696783,4.145972480602204e-12,3.354125706975037e-11
6748568054.325361,128.592,1.8354000590493063,2.7930792271448203e-10,2.919735162488269e-10
2788263950.398583,85.6957,9.843814585178624,4.01180799721106e-12,2.4176917909411314e-11
1202893416.002362,84.7115,12.981989961617952,9.951251802860622e-13,1.7913884690100686e-11
1406510186.0053144,83.6715,13.621198700915265,1.056927823614932e-12,1.6656589422677434e-11
436536758.1930912,68.219,21.438441098317092,1.324242494268367e-13,7.034995031201366e-12
3882226158.8426337,99.938,6.320194862710363,1.35504276043457e-11,5.1212637002068e-11
639031591.3788013,75.0157,14.672128727487452,4.1387498406217066e-13,1.2429610030460844e-11
872409211.6917626,77.4911,8.384263359905521,1.7303084362729083e-12,2.3210529044270404e-11
3778240330.6761146,92.821,4.533067611455565,2.563529337617448e-11,6.15951601442548e-11
1796250369.0581636,85.9985,7.914230882787128,3.998365987774047e-12,3.0284425273507805e-11
1094596988.4853852,82.1395,7.947741364038972,2.4160165396355066e-12,2.7511019418715505e-11
1249586654.8568053,85.8032,10.55255388249188,1.5645315571255728e-12,2.260974639853649e-11
377339828.7570121,62.844,7.357838795394155,9.717738690000713e-13,1.7394969469868887e-11
486772955.4177739,57.9161,41.06716858576912,4.0241116790542115e-14,2.646976935376976e-12
1187983466.1942723,85.0391,7.4607322113965155,2.9756414378582965e-12,3.141247513784676e-11
4396073221.139651,95.876,4.110717449069973,3.6271270668418833e-11,7.246836890419937e-11
436093888.3968113,68.8951,7.045025095955123,1.2250336464719103e-12,2.1834357893430527e-11
3141674047.829938,63.2025,7.95748449955713,6.917395827614897e-12,1.6268181639137065e-11
2725730735.1638618,77.5544,11.325952170062003,2.9625562875016375e-12,1.7210142281335868e-11
613049896.6637142,64.4836,20.369205786832005,2.0600641181386148e-13,6.615623090452165e-12
2018452908.178329,88.044,7.172571597283731,5.470184102552824e-12,3.50244188283756e-11
3067788603.483909,94.1557,2.9743135518157664,4.834872610606724e-11,9.659458535699172e-11
6274047829.937998,254.934,0.17242397401830528,2.9422910453411336e-08,1.2215300902715398e-08
866120460.5845882,78.7754,9.249926188367287,1.4113504612031845e-12,2.1741488115427003e-11
586699143.7850605,80.8133,10.036905816356658,8.119866003675745e-13,2.108687062933711e-11
3998494242.6926484,92.0002,2.232211396516091,1.118816695823311e-10,1.2288207076621697e-10
5593873634.484795,189.545,0.20667257159728375,1.8259129570110222e-08,5.633627419278561e-09
3250811927.9598465,86.6313,2.684086211987009,6.291178797055607e-11,9.061487619509208e-11
1724033067.6114557,87.3133,6.154266312370829,6.346380784789428e-12,4.0144940572013125e-11
5374520224.387363,197.024,0.35532919988190137,5.934867279100013e-09,3.540410868934992e-09
4359285503.395335,111.307,2.3098612341304987,1.139138784221833e-10,1.7382224887145867e-10
1679539415.4118688,67.1087,8.465013286093889,3.2678944284676702e-12,1.7241550053621705e-11
1216312370.8296428,64.057,12.524062592264542,1.0811545260204808e-12,1.0617793159021704e-11
757085916.7404783,77.3123,10.06436374372601,1.0420909497904248e-12,1.9246739218536917e-11
395807499.2618837,66.5027,15.297018010038382,2.358324529189841e-13,9.369535853047145e-12
