g_bar,g_obs,V_c,r_kpc
9.820363047692637e-11,2.560568330435787e-10,188.74622966624221,4.508857395925598
8.563189461335797e-11,5.823693380534988e-10,267.9572693528859,3.995571302037201
2.818535830239509e-10,5.391444031465601e-10,182.3543538367637,1.9988190138765871
1.1546797463362483e-10,2.725630813852836e-10,181.43680736687224,3.9140832595217008
1.86166878066671e-10,1.7720344515642024e-09,366.72529520644986,2.459551225273103
1.0308324020742641e-09,1.1943389187637357e-09,229.91208471566293,1.4343076468851492
2.1365282489407097e-10,2.674860067386664e-10,182.9773558027885,4.056392087392973
7.659141278385274e-10,1.0994868101679424e-09,237.60181621254404,1.6640094478889873
1.3431444452596864e-10,2.823645334472634e-10,178.4141851413129,3.65338057277827
8.617859672041748e-11,2.138594378799414e-10,193.4248858840031,5.669471508709773
1.1272653068627834e-10,3.384649625750296e-10,204.08240368441352,3.9878948922350164
2.799523116879844e-11,9.141156357060493e-11,110.98422368408168,4.366843814585178
6.214050439227568e-11,3.2221437988265165e-10,185.8630420178703,3.474461175081193
2.9154344571136813e-12,7.652622079815475e-11,178.76011863581562,13.532477118393858
3.552759265772247e-11,1.0772842061689873e-10,134.07009947906278,5.407292589312076
7.216475720992412e-11,2.965443393221932e-10,207.05975361864745,4.685414821375849
8.217572079992108e-12,8.332363400384638e-11,170.62684544157997,11.323294951284323
8.665619308944318e-10,1.0695699134423744e-09,224.504003771433,1.5271626808385002
2.1152601028850625e-10,2.873114495409973e-10,188.94568716263396,4.026867434307647
5.415635392769338e-10,7.713257066650371e-10,214.42559060033605,1.9317980513728963
3.97226766165121e-11,9.227079589569382e-11,124.16383866470511,5.414673752583407
7.739393870364045e-11,2.4677532128654403e-10,188.99394773039066,4.690729258931208
1.1715387446431295e-11,1.0214366258427688e-10,177.54490207042315,10.001180986123414
1.2734473011476893e-10,2.3484108475978356e-10,135.85436727935974,2.5469441984056687
8.058852830504474e-11,1.8380753412600923e-10,151.3761442854549,4.0401535281960435
9.642285426073154e-11,9.468156422996151e-10,313.4055077196016,3.3619722468260997
8.74218591559043e-11,2.128229289680515e-10,139.0565240860452,2.9444936521995864
7.267393873337336e-11,2.3177079574855342e-10,171.71313920577938,4.122822556834957
3.7280011599129095e-11,5.730461620474649e-10,282.37499218839196,4.509300265721878
1.1420070371528072e-10,2.0330510751411937e-10,131.07970974565598,2.7388544434602893
8.660010502394531e-11,2.185160275426927e-10,160.99648431422807,3.8441098317094777
5.788423577563663e-11,7.492656503803436e-10,298.24124509269024,3.847209920283437
6.562051181923206e-10,8.165699311068131e-10,206.33733486623345,1.6896958960732211
1.4338287824828924e-10,2.040878211519425e-10,168.0791555859111,4.4859757897844705
6.000420640241684e-10,1.0615981781945415e-09,240.59212697550979,1.767050487156776
7.117715712526081e-11,1.5090744632334445e-10,116.78027074763531,2.928697962798937
6.367474917271521e-11,1.8844169993238597e-10,152.38508097389874,3.9935045763212282
1.7544293033439964e-11,2.1929494038149847e-10,223.5748102963092,7.3869205786832
1.5724573731739746e-10,3.0572807389619654e-10,150.9662679816712,2.41585473870682
8.380485019489096e-11,2.1135441532881776e-10,163.40825853607134,4.094331266607617
